property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,50,1,2,1,Pina,2600,0,0,0,0,1,0.12623970412447638,-8.0995197,-34.8854553
apartment,32,1,1,1,Boa Viagem,1800,0,0,0,0,1,0.1297550488938444,-8.119691,-34.8959229
apartment,220,4,4,3,Boa Viagem,5100,0,0,0,0,0,0.14188605881771835,-8.11935455,-34.8957389390247
apartment,46,1,2,1,Boa Viagem,1700,0,0,1,0,1,1.0515493927636685,-8.1270868,-34.9079663
apartment,58,1,1,1,Boa Viagem,2309,0,1,0,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,60,2,2,1,Encruzilhada,2200,0,0,0,0,1,3.2618156469536244,-8.0363183,-34.8964095
apartment,180,3,3,3,Boa Viagem,6500,0,0,1,0,1,0.4733892561950962,-8.1079255,-34.892727
apartment,120,1,3,1,Boa Viagem,2000,0,0,0,1,0,0.6722657558598575,-8.1239179,-34.9030379
apartment,33,1,1,1,Boa Viagem,2000,0,1,0,0,1,0.3099828355964977,-8.1174236,-34.896487
apartment,79,3,3,2,Casa Amarela,2800,0,0,1,0,1,4.628323221939188,-8.0261687,-34.9067176
apartment,94,2,3,1,Afogados,900,0,0,0,1,0,4.0717023175337,-8.0830618,-34.9177871
apartment,60,2,1,1,Casa Forte,3000,0,1,0,0,1,5.691941074711678,-8.0337811,-34.9183073
apartment,33,1,1,1,Parnamirim,2500,0,1,1,0,1,4.620483066668919,-8.0344855,-34.908601
apartment,147,4,4,2,Boa Viagem,5800,0,0,0,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,101,3,3,2,Torre,3000,0,0,0,0,0,4.295077682425936,-8.0471325,-34.9053661
apartment,70,2,2,1,Parnamirim,1998,0,0,0,0,0,5.099939298155164,-8.033072,-34.9127954
apartment,68,2,3,1,Cordeiro,1550,0,0,1,0,1,6.6302377574864435,-8.0570477,-34.9321165
apartment,70,2,2,1,Torre,1600,0,0,0,0,0,4.54183786652423,-8.0385769,-34.908218
apartment,86,1,3,1,Casa Amarela,2800,0,0,1,0,1,5.528693450154314,-8.0274887,-34.9156325
apartment,47,1,2,1,Boa Viagem,1800,0,0,0,0,1,0.40861355568050417,-8.1066131,-34.8914197
apartment,75,2,3,2,Boa Vista,1800,0,0,0,0,0,2.1590260530948258,-8.0614789,-34.8825812
